Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-08-06 23:27:37,false,West Coast,7.01,392,00:48:46,164,180,3.4,156,168,6:58,5:29,24,21,0.92,0,0,--,--,--,--,0,0,0,48:46,0:00,30,0:00,No,00:02.31,8,0
Running,2020-08-04 23:04:55,false,West Coast,5.01,276,00:32:15,166,183,3.4,155,162,6:27,5:14,14,8,1,0,0,--,--,--,--,0,0,0,32:15,0:00,29,0:00,No,00:01.44,6,0
Running,2020-08-02 23:55:42,false,West Coast,3.01,165,00:19:24,165,190,3,154,160,6:27,5:30,12,12,1,0,0,--,--,--,--,0,0,0,19:24,0:00,30,0:00,No,00:01.40,4,0
Running,2020-07-31 23:30:32,false,West Coast,7.01,412,00:48:36,172,186,3.7,153,158,6:56,5:18,21,19,0.94,0,0,--,--,--,--,0,0,0,48:36,0:00,30,0:00,No,00:01.54,8,0
Running,2020-07-28 21:29:02,false,West Coast,3.33,186,00:23:09,163,183,2.8,148,154,6:57,6:08,13,17,0.97,0,0,--,--,--,--,0,0,0,23:09,0:00,30,0:00,No,02:15.91,4,0
Running,2020-07-26 22:30:43,false,West Coast,5.33,310,00:36:31,166,186,3.4,151,158,6:51,5:31,12,10,0.96,0,0,--,--,--,--,0,0,0,36:31,0:00,29,0:00,No,02:06.50,6,0
Running,2020-07-23 23:36:27,false,Kent Ridge,4.01,243,00:25:29,177,191,3.4,154,160,6:22,5:32,23,28,1.02,0,0,--,--,--,--,0,0,0,25:29,0:00,29,0:00,No,00:02.00,5,0
Running,2020-07-21 23:27:02,false,West Coast,2.01,111,00:11:54,168,191,2.6,155,158,5:55,5:06,7,8,1.09,0,0,--,--,--,--,0,0,0,11:54,0:00,30,0:00,No,00:02.02,3,0
Other,2020-07-19 20:17:59,false,Table Tennis,0,693,01:27:47,158,177,3.9,5,196,--,6.6,2,11,3.96,0,0,--,--,--,--,0,0,0,1:27:47,0:00,29,0:00,No,01:27:46.54,1,0
Running,2020-07-17 00:17:53,false,Kent Ridge,4.01,256,00:27:48,170,189,3.3,152,158,6:56,5:54,24,24,0.95,0,0,--,--,--,--,0,0,0,27:48,0:00,29,0:00,No,00:01.39,5,0
Running,2020-07-14 23:55:45,false,West Coast,3.21,196,00:20:40,168,192,3.1,153,156,6:26,5:51,13,13,1.02,0,0,--,--,--,--,0,0,0,20:40,0:00,28,0:00,No,01:17.93,4,0
Running,2020-07-12 23:12:20,false,West Coast,5.01,344,00:34:25,175,190,4,150,160,6:53,5:40,12,8,0.97,0,0,--,--,--,--,0,0,0,34:25,0:00,29,0:00,No,00:02.21,6,0
Running,2020-07-09 22:57:23,false,West Coast,3.01,190,00:19:29,170,193,3.4,150,158,6:29,5:25,9,10,1.03,0,0,--,--,--,--,0,0,0,19:29,0:00,28,0:00,No,00:02.13,4,0
Running,2020-07-08 00:02:54,false,West Coast,4.01,282,00:27:58,171,190,4.1,147,156,6:58,6:16,12,12,0.97,0,0,--,--,--,--,0,0,0,27:58,0:00,28,0:00,No,00:03.30,5,0
Other,2020-07-05 20:07:43,false,Table Tennis,0,867,01:41:16,154,179,4.6,9,196,--,--,--,--,0,0,0,--,--,--,--,0,0,0,1:41:16,0:00,27,0:00,No,01:41:16.15,1,0
Running,2020-07-02 22:47:48,false,West Coast,3.33,246,00:23:36,171,190,3.8,150,156,7:05,6:19,13,15,0.94,0,0,--,--,--,--,0,0,0,23:36,0:00,30,0:00,No,02:18.93,4,0
Running,2020-06-29 22:53:24,false,West Coast,3.36,253,00:24:35,170,190,4,148,154,7:19,6:15,12,13,0.92,0,0,--,--,--,--,0,0,0,24:35,0:00,30,0:00,No,02:34.87,4,0
